categories 1,categories 2
Food,"Breakfast & Brunch, Coffee & Tea, Fast Food"
"Night Life, Food","Cocktail Bars, Breakfast & Brunch, American"
Food,American
Food,Pizza
Food,"European, French"
"Night Life, Food","Bars, Asian"
Food,Ice Cream & Frozen Yogurt
Food,"Caf??, French, Fast Food"
Food,Mexican
Food,"Breakfast & Brunch, American, Fast Food"
Food,"Coffee & Tea, Bakery"
Food,American
Food,"Breakfast & Brunch, Coffee & Tea"
Food,Pizza
Active Life,Parks
Food,"American, Fast Food"
Food,"Caribbean, Breakfast & Brunch, Fast Food"
Night Life,Pubs
Food,"European, American"
"Night Life, Food","Japanese, Lounges"
Food,"Breakfast & Brunch, American, Deli"
Food,Barbeque
Food,Mexican
"Night Life, Food","Bars, American, Mexican"
"Night Life, Food","Piano Bars, American, Seafood"
"Night Life, Food","Bars, Mexican, Ice Cream & Frozen Yogurt"
"Night Life, Food","Bars, American, Fast Food"
"Night Life, Food","Bars, Breakfast & Brunch, Mexican"
Night Life,"Cocktail Bars, Gastropubs"
"Night Life, Food","Breakfast & Brunch, Gastropubs"
Food,"European, Pizza"
Food,South Asian
Food,European
Food,Fast Food
Food,"Coffee & Tea, Ice Cream & Frozen Yogurt"
Food,Fast Food
"Night Life, Food","American, Gastropubs, Fast Food"
"Shopping, Food","Comfort, American, Chicken Shop"
Food,South Asian
Food,"Asian, Healthy, Burger"
Food,"Desserts, Bakery, Breakfast & Brunch"
"Night Life, Food","Korean, Bars"
"Night Life, Food","Cocktail Bars, European"
"Night Life, Food","Bars, European, Pizza"
Food,"Breakfast & Brunch, Seafood"
Food,"Healthy, Pizza, Fast Food"
"Night Life, Food","Bars, Mexican"
"Active Life, Night Life, Food","American, Pool Halls, Brewpubs"
Food,"Caf??, Breakfast & Brunch, American"
Food,American
Food,"Healthy, Breakfast & Brunch, Fast Food"
Food,"Breakfast & Brunch, Fast Food"
Food,"Asian, Japanese"
Food,"Breakfast & Brunch, American"
"Night Life, Food","Bars, Fast Food"
Food,Fast Food
Food,Mexican
Food,Pizza
"Arts&Entertainment, Food","American, Music Venues"
"Night Life, Food","Cocktail Bars, American"
Night Life,Pubs
Food,American
Food,"Spanish, Mexican"
"Night Life, Food","Cocktail Bars, American"
Food,"Coffee & Tea, Bakery, Fast Food"
Active Life,Parks
Attraction,Museums
Food,"Indian, American"
Food,American
Food,"European, American"
Food,"Breakfast & Brunch, Coffee & Tea, Fast Food"
"Night Life, Food","Dive Bars, Mexican"
"Arts&Entertainment, Food","Korean, Asian, Poke"
Food,Coffee & Tea
Food,"Healthy, American, Fast Food"
Food,"Restaurants, Breakfast & Brunch, American"
Food,Desserts
Food,"Coffee & Tea, Bakery"
"Night Life, Food","Cocktail Bars, Wine Bars, European"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,Asian
Food,"Japanese, South Asian"
Food,Caribbean
Food,Chinese
Food,"Coffee&Tea, Coffee & Tea, Fast Food"
Food,"American, Fast Food"
Attraction,Museums
"Night Life, Food","Wine Bars, Coffee & Tea"
"Night Life, Food","Bars, American"
Food,Mediterranean
Food,"Healthy, Coffee & Tea, Juice Bars & Smoothies"
"Night Life, Food","European, Pubs"
Food,Seafood
Food,"Mediterranean, American, Fast Food"
Food,Indian
Food,"Asian, Japanese, South Asian"
Food,"Desserts, Coffee & Tea"
Attraction,Museums
Food,American
"Night Life, Food","European, Lounges, Fast Food"
"Night Life, Food","Beer, American, Sports Bars"
Attraction,Botanical Gardens
"Night Life, Food","Bars, Healthy, Fast Food"
"Night Life, Food","Cocktail Bars, Caf??, Coffee & Tea"
Food,"Breakfast & Brunch, Coffee & Tea, Brazilian"
"Arts&Entertainment, Attraction","Cultural Center, Museums"
Food,"Desserts, Ice Cream & Frozen Yogurt"
Food,Coffee & Tea
Food,"American, Fast Food"
"Night Life, Food","Mexican, American, Pubs"
Food,"Coffee & Tea, Bakery, Fast Food"
Food,"Breakfast & Brunch, Bakery, Fast Food"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,"Healthy, South American"
Food,"Coffee & Tea, Fast Food"
"Night Life, Food","Bars, South Asian"
Food,"Healthy, Burger"
Food,European
Food,Spanish
"Night Life, Food","Pubs, Seafood, Fast Food"
Food,Middle Eastern
Active Life,Dog Parks
Food,"Mediterranean, Greek, Fast Food"
Food,"Deli, Fast Food"
Food,"Coffee & Tea, Fast Food"
"Arts&Entertainment, Food","American, Music Venues"
"Night Life, Food","American, Pubs, Sports Bars"
Food,"Breakfast & Brunch, Bakery, Fast Food"
Food,American
Food,Caribbean
Food,American
Food,"Caf??, Breakfast & Brunch, French"
Food,"Breakfast & Brunch, American, Burger"
Food,American
Food,"American, Fast Food"
"Night Life, Food","Bars, American, Fast Food"
Food,Barbeque
Food,Pizza
Food,"European, American, Caribbean"
Food,"Chinese, South Asian"
Food,Barbeque
"Night Life, Food","European, Sports Bars, Gastropubs"
Food,"European, Healthy, American"
Attraction,Landmarks & Historical Buildings
Food,American
Food,Coffee&Tea
Food,Spanish
"Night Life, Food, Shopping","Beer, Grocery, Fast Food"
"Night Life, Food","Breakfast & Brunch, American, Pubs"
Food,"Indian, Middle Eastern"
Food,"Coffee & Tea, Deli"
Food,"Healthy, Juice Bars & Smoothies, Burger"
"Night Life, Food","Bars, American"
"Night Life, Food","Bars, Breakfast & Brunch, Coffee & Tea"
"Night Life, Food","Bars, Breakfast & Brunch, Seafood"
Food,Seafood
"Night Life, Food","Bars, American, Caribbean"
Food,"Egyptian, Japanese"
"Shopping, Food","Chocolatiers & Shops, Candy Stores, Ice Cream & Frozen Yogurt"
"Night Life, Food","Barbeque, Dive Bars, Fast Food"
Food,"Caf??, Desserts"
"Night Life, Food","Cocktail Bars, American"
Food,"Tapas, American, Breakfast & Brunch"
"Night Life, Shopping","Cocktail Bars, Lounges, Tobacco Shops"
Food,American
Night Life,Pubs
"Night Life, Food","Cocktail Bars, Caf??, French"
Food,Restaurants
Food,Fast Food
Food,Breakfast & Brunch
Food,Korean
Food,Seafood
Food,"Asian, Japanese, Seafood"
Food,Mexican
Food,"American, Fast Food"
Food,"Restaurants, Desserts"
"Night Life, Food","Breakfast & Brunch, Sports Bars, Pubs"
"Night Life, Food","Cocktail Bars, American, Coffee & Tea"
Food,"Restaurants, Healthy, Burger"
Food,Indian
Food,South Asian
Food,"Caribbean, Mexican"
"Arts&Entertainment, Food","American, Music Venues"
Food,European
Food,"Chinese, Fast Food"
Food,"Greek, Egyptian, Middle Eastern"
"Arts&Entertainment, Attraction","Museums, Libraries"
Food,"Deli, Fast Food"
Food,Japanese
"Night Life, Food","Pubs, Pizza, Fast Food"
"Night Life, Food","Bars, Breakfast & Brunch, American"
Food,"Indian, Coffee & Tea, Middle Eastern"
"Night Life, Food","Dive Bars, Fast Food"
"Night Life, Food","Breweries, American, Gastropubs"
"Night Life, Food","Cocktail Bars, Breakfast & Brunch, American"
Food,European
"Night Life, Food","American, Brewpubs"
"Night Life, Arts&Entertainment","Cocktail Bars, Dive Bars, Arcades"
Food,"Japanese, Seafood"
Food,American
Arts&Entertainment,Art Museums
Food,"Breakfast & Brunch, Juice Bars & Smoothies, Fast Food"
"Night Life, Food","Tapas, Beer, Fast Food"
Food,Indian
Food,"Healthy, South American, Breakfast & Brunch"
"Night Life, Food","Korean, Asian, Bars"
Food,Asian
Food,Local Flavor
Food,South Asian
Food,Fast Food
Food,"Mediterranean, Breakfast & Brunch, Bakery"
Food,"Barbeque, Seafood"
Food,"Asian, Japanese"
"Night Life, Food","Bars, American"
"Night Life, Food","Bars, Breakfast & Brunch, Barbeque"
"Night Life, Food","Dive Bars, Seafood"
Food,Mexican
Food,"Mediterranean, Healthy, Middle Eastern"
Food,"Mediterranean, Middle Eastern"
Food,"Indian, Middle Eastern"
Food,"European, Pizza"
Food,Japanese
Food,"Restaurants, Barbeque"
Food,"Breakfast & Brunch, Coffee & Tea"
Food,"Breakfast & Brunch, American"
Food,"Caf??, Breakfast & Brunch, Coffee & Tea"
"Night Life, Food","Dive Bars, Seafood"
Food,"Desserts, Bakery, Breakfast & Brunch"
Food,"Japanese, South Asian"
"Night Life, Food","Bars, Mexican, Korean"
Night Life,Pubs
Food,"Mediterranean, Turkish"
"Night Life, Food","Caribbean, Breakfast & Brunch, Bars"
"Night Life, Food","American, Pubs"
Food,"Desserts, Ice Cream & Frozen Yogurt"
Food,Coffee & Tea
"Night Life, Food","Wine Bars, Spanish"
Food,American
Food,Japanese
"Night Life, Food","Cocktail Bars, Ice Cream & Frozen Yogurt"
"Night Life, Food","American, Gastropubs, Fast Food"
Food,Mediterranean
Food,"Spanish, South Asian"
Food,"Healthy, Coffee & Tea, Bakery"
"Night Life, Food","Bars, Fast Food"
Food,"American, Spanish"
"Night Life, Food","Spanish, Gastropubs"
"Night Life, Food","Korean, Bars"
"Attractions, Food","European, Pizza, Venues & Event Spaces"
"Arts&Entertainment, Food","Poke, Seafood"
"Night Life, Food","Bars, American"
"Shopping, Food","Caf??, Coffee & Tea, Patisserie/Cake Shop"
"Night Life, Food","Beer Gardens, European"
Food,Japanese
Food,"Restaurants, Healthy, Breakfast & Brunch"
Food,"African, European, Bakery"
Food,"Healthy, American, Fast Food"
Food,"Breakfast & Brunch, Desserts, Mexican"
Food,Indian
Food,"Coffee & Tea, Bakery, Fast Food"
"Night Life, Food","Bars, Caf??, Bakery"
Attractions,Zoos
Food,"American, Fast Food"
Food,"Tapas, Japanese"
Food,Ice Cream & Frozen Yogurt
Night Life,Bars
Night Life,"Lounges, Hookah Bars"
Food,"American, Japanese, Seafood"
Food,"Restaurants, Healthy, Fast Food"
"Night Life, Food","Caribbean, Tiki Bars, Seafood"
"Arts&Entertainment, Attraction","Cultural Center, Museums"
"Night Life, Attractions, Food","Cocktail Bars, Mexican, Venues & Event Spaces"
Night Life,Bars
Food,"Breakfast & Brunch, Coffee & Tea, Desserts"
"Night Life, Food","Cocktail Bars, European, Fast Food"
Food,"Deli, American, Fast Food"
Food,Pizza
"Night Life, Food","Wine Bars, South Asian"
"Night Life, Food","American, Sports Bars, Brewpubs"
Active Life,Parks
"NULL, Food","NULL, Caf??, Coffee & Tea"
Food,"Healthy, Japanese, South Asian"
"Night Life, Food","Wine Bars, Tapas, Spanish"
"Night Life, Food","Cocktail Bars, Restaurants"
Food,Healthy
Food,"European, American, Pizza"
"Night Life, Food","Asian, Pubs, Fast Food"
"Night Life, Food","Bars, American, Mediterranean"
Food,"Comfort, American"
"Night Life, Food","Cocktail Bars, American"
Food,Indian
Food,"Mediterranean, Indian"
Food,"European, Pizza"
"Night Life, Food","American, Pubs"
Food,"Korean, American, Deli"
Food,"Healthy, European, Pizza"
"Night Life, Food","Bars, American"
Food,"Mediterranean, Greek"
Food,Fast Food
"Night Life, Food","Bars, American"
Food,"Seafood, Fast Food"
Food,African
"Night Life, Food","Bars, American"
Shopping,Chicken Shop
"Night Life, Food","Barbeque, American, Sports Bars"
Food,"Healthy, European, Fast Food"
Food,Fast Food
Food,South Asian
"Night Life, Food","Sports Bars, Pubs, Fast Food"
Attraction,Museums
"Night Life, Arts&Entertainment","Bars, Music Venues"
Food,American
Food,"Asian, Japanese"
Food,"Mexican, Fast Food"
Food,Indian
Food,South Asian
Food,Asian
Food,"Coffee & Tea, Ice Cream & Frozen Yogurt"
Food,"Restaurants, Asian"
Food,"Deli, Fast Food"
Food,"Healthy, Burger"
"Night Life, Food","Bars, American, Gastropubs"
Food,European
Food,American
"Night Life, Food","Bars, American"
"Night Life, Food","Tiki Bars, Seafood"
Active Life,Parks
"Night Life, Food","Wine Bars, Spanish, Seafood"
Food,Breakfast & Brunch
Food,American
Food,"Asian, Japanese"
Active Life,Parks
Food,"Caribbean, Desserts, Healthy"
Food,Pizza
Food,Fast Food
Food,Iranian
"Active Life, Night Life","Bars, Bowling"
Food,American
Night Life,Gay Bars
Food,Mexican
"Night Life, Food","Bars, American, Fast Food"
Food,"Japanese, South Asian"
Food,"Asian, Healthy, South Asian"
Food,"Caf??, Coffee & Tea"
Food,"Healthy, European, Pizza"
"Night Life, Food","Cocktail Bars, American, Barbeque"
Food,Mexican
Food,"Comfort, Breakfast & Brunch, American"
Food,"American, Fast Food"
"Night Life, Food","American, Dive Bars"
Food,"Desserts, European, Pizza"
Food,Mexican
Food,"Ice Cream & Frozen Yogurt, Fast Food"
Food,Bakery
"Night Life, Food","Bars, European, Pizza"
Food,Coffee & Tea
"Arts&Entertainment, Food","Poke, Japanese"
Food,"Breakfast & Brunch, American, Coffee & Tea"
Food,"Mediterranean, Turkish, Greek"
Food,"Desserts, Bakery, Breakfast & Brunch"
Food,"Asian, Japanese"
Food,"Healthy, European, Pizza"
Food,"Mediterranean, Greek, Middle Eastern"
Food,"Mediterranean, Middle Eastern"
Food,"Deli, Fast Food"
Active Life,Parks
Food,"Mexican, Fast Food"
"Night Life, Food","American, Sports Bars"
"Shopping, Food","Desserts, Bakery, Patisserie/Cake Shop"
Food,"Restaurants, Healthy, Fast Food"
Food,"Breakfast & Brunch, Pizza"
Night Life,"Beer, Beer Bar"
Food,Bakery
Food,"American, Fast Food"
Food,American
"Night Life, Food","Bars, Mexican"
Food,"Japanese, South Asian"
Food,Local Flavor
"Night Life, Food","Cocktail Bars, American, Gastropubs"
Food,"Brazilian, American, Spanish"
Food,"Coffee & Tea, Bakery, Fast Food"
Food,American
Food,"Healthy, Burger"
"Night Life, Food","Wine Bars, American"
Food,"Mexican, Fast Food"
Food,"Restaurants, Breakfast & Brunch, American"
"Night Life, Food","Sports Bars, Mexican"
Food,"Japanese, Seafood"
"Night Life, Food","Bars, Restaurants, Breakfast & Brunch"
Food,Asian
"Night Life, Food","Bars, American"
"Night Life, Food","Bars, American"
"Arts&Entertainment, Food","Restaurants, Poke, Japanese"
Food,"Breakfast & Brunch, American"
Food,Ethiopian
Active Life,Parks
"Night Life, Food","Cocktail Bars, Mexican, Spanish"
Food,"Bakery, Deli"
"Night Life, Food","Cocktail Bars, French"
Food,"Coffee & Tea, Juice Bars & Smoothies, Fast Food"
Food,Spanish
Food,Caribbean
Food,Ethiopian
Food,"Korean, Asian"
Food,"Healthy, Indian"
Food,"Coffee & Tea, Deli"
Food,American
"Night Life, Food","Cocktail Bars, Spanish"
"Arts&Entertainment, Attraction","Museums, Performing Arts"
"Night Life, Food","Pubs, American, Dive Bars"
Food,"Restaurants, Asian, South Asian"
"Night Life, Arts&Entertainment, Shopping","Bars, Comic Books, Arcades"
Attraction,"Planetarium, Museums"
Food,Breakfast & Brunch
Food,"American, Fast Food"
"Night Life, Food","Cocktail Bars, Seafood, Fast Food"
Food,"European, Pizza"
Food,"Asian, Chinese"
Food,Bakery
"Night Life, Food","Cocktail Bars, Healthy, Fast Food"
"Night Life, Food","European, Pubs, Pizza"
Food,"European, American, Pizza"
Active Life,"Golf, Golf Lessons"
Food,"Caribbean, Coffee & Tea, Fast Food"
"Night Life, Shopping","Chicken Shop, Beer Bar"
"Active Life, Attraction","Churches, Landmarks & Historical Buildings"
Food,"Breakfast & Brunch, American"
Night Life,"Lounges, Hookah Bars"
Food,European
Food,"Coffee & Tea, Fast Food"
"Night Life, Food","Bars, Mexican"
"Night Life, Food","Cocktail Bars, American"
"Night Life, Food","Bars, Healthy, American"
Food,European
Food,"Bakery, Ice Cream & Frozen Yogurt"
Food,"American, Deli, Fast Food"
Food,Ice Cream & Frozen Yogurt
Food,"Restaurants, American"
"Night Life, Food","Cocktail Bars, Barbeque"
"Night Life, Food","Cocktail Bars, American"
Food,Mexican
"Night Life, Food","American, Pubs, Pizza"
"Night Life, Food","Sports Bars, Fast Food"
Food,"Asian, Fast Food, South Asian"
Food,"Mediterranean, Healthy"
"Night Life, Food","Tapas, Dance Clubs"
"Night Life, Food","Cocktail Bars, Sports Bars, Barbeque"
"Shopping, Food","Women's Clothing, Coffee & Tea, Men's Clothing"
"Night Life, Food","Bars, Pizza, Fast Food"
Food,Pizza
Food,American
Food,Mexican
Food,"Healthy, Pizza"
"Night Life, Food","Bars, Healthy, Fast Food"
"Night Life, Food","Bars, Breakfast & Brunch, Fast Food"
Food,"Coffee&Tea, Coffee & Tea"
"Night Life, Food","Bars, Breakfast & Brunch, American"
"Night Life, Shopping","Lounges, Tobacco Shops"
Food,Pizza
"Night Life, Food","Bars, American, Fast Food"
"Night Life, Food","American, Pubs"
Food,"Pizza, Fast Food"
Food,"Desserts, Coffee & Tea, Breakfast & Brunch"
Food,"Asian, South Asian"
Food,"Chinese, South Asian"
Food,Middle Eastern
Food,Caribbean
"Arts&Entertainment, Food","American, Music Venues"
Food,"Breakfast & Brunch, American, Mexican"
Food,"Ice Cream & Frozen Yogurt, Deli, Fast Food"
"Night Life, Food","Cocktail Bars, Sports Bars, American"
Food,"Coffee&Tea, Coffee & Tea"
Food,American
Active Life,Golf
Food,Mexican
Food,"Healthy, Indian"
Food,Fast Food
Food,Mexican
Food,"American, Seafood"
Food,"European, Pizza"
Food,"Healthy, Breakfast & Brunch, American"
"Night Life, Food","Cocktail Bars, Japanese"
"Night Life, Food","Asian, Seafood, Tiki Bars"
"Night Life, Food","American, Gastropubs"
Food,"Restaurants, Barbeque"
Food,"Korean, Asian, Japanese"
Food,Breakfast & Brunch
"Night Life, Food","Pubs, Deli, Fast Food"
Food,Caribbean
Food,"Breakfast & Brunch, American"
Food,"Healthy, European, Pizza"
Food,"Desserts, Coffee & Tea"
Food,"Caf??, Desserts"
"Night Life, Food","American, Sports Bars, Fast Food"
Food,"Breakfast & Brunch, Deli, Fast Food"
Food,American
Food,European
"Night Life, Food","Cocktail Bars, American, Beer Gardens"
Food,"Coffee & Tea, Bakery"
Food,Coffee & Tea
"Night Life, Food","Bars, Indian"
Food,"Juice Bars & Smoothies, Fast Food"
Attraction,Amusement Parks
Food,"European, Pizza"
"Night Life, Food","Asian, American, Beer Bar"
Food,"Healthy, European, Pizza"
"Arts&Entertainment, Food","Tours, Local Flavor"
Food,Mexican
"Night Life, Arts&Entertainment, Food","Bars, American, Cabaret"
"Night Life, Food","Wine Bars, Desserts, European"
Food,"Caribbean, Mexican"
"Night Life, Food","Bars, American"
"Night Life, Food","American, Dive Bars"
Food,Coffee & Tea
"Night Life, Arts&Entertainment","Lounges, Music Venues"
Food,Asian
Food,European
Food,Mexican
Food,"American, Barbeque"
Food,Mexican
Food,"European, Pizza"
Food,Pizza
Food,"American, Barbeque, Seafood"
Food,"European, French"
Food,"American, Seafood"
Food,Japanese
"Night Life, Food","Mediterranean, Greek, Hookah Bars"
Food,American
Food,Coffee & Tea
"Night Life, Food","Bars, American"
"Night Life, Food","Caf??, Beer, Coffee & Tea"
Food,"Coffee & Tea, Fast Food"
Food,Indian
Food,Japanese
Food,"Caf??, Breakfast & Brunch, American"
Food,Coffee & Tea
Food,"European, Pizza, Fast Food"
"Active Life, Night Life, Food","American, Pubs, Pool Halls"
